yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY80363	Q4JA17	Q4JA17_SULAC	unreviewed	Transcriptional regulator PadR-like family	Saci_1005	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	135
AAY81633	Q4J6E8	Q4J6E8_SULAC	unreviewed	Transcriptional regulator PadR-like family	Saci_2352	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	159
AAY80479	Q4J9Q1	Q4J9Q1_SULAC	unreviewed	Amino acid permease	Saci_1127	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	629
AAY81475	Q4J6V6	Q4J6V6_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_2189	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	615
AAY79645	Q4JC34	Q4JC34_SULAC	unreviewed	2-keto-3-deoxygluconate kinase	kdgK Saci_0226	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	311
AAY79688	Q4JBZ1	Q4JBZ1_SULAC	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK Saci_0272	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	288
AAY80121	Q4JAQ8	Q4JAQ8_SULAC	unreviewed	Conserved Archaeal protein	Saci_0745	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	263
AAY79493	Q4JCI6	Q4JCI6_SULAC	unreviewed	Uncharacterized protein	Saci_0065	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	111
AAY79486	Q4JCJ3	Q4JCJ3_SULAC	unreviewed	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrD nnrE Saci_0057	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	503
AAY79689	Q4JBZ0	Q4JBZ0_SULAC	unreviewed	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	thiD Saci_0273	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	402
AAY80315	Q4JA65	Q4JA65_SULAC	unreviewed	Conserved protein	Saci_0953	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	447
AAY79848	Q4JBI0	Q4JBI0_SULAC	unreviewed	Conserved Archaeal protein	Saci_0437	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	307
AAY81634	Q4J6E7	Q4J6E7_SULAC	unreviewed	Conserved Archaeal protein	Saci_2353	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	184
AAY80469	Q4J9R1	GLPK1_SULAC	reviewed	Glycerol kinase 1 (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 1) (Glycerokinase 1) (GK 1)	glpK1 Saci_1117	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	498
AAY81329	Q4J7A3	GLPK2_SULAC	reviewed	Glycerol kinase 2 (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerokinase 2) (GK 2)	glpK2 Saci_2033	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	497
AAY80415	Q4J9W6	Q4J9W6_SULAC	unreviewed	Sugar kinase (EC 2.7.1.-)	Saci_1058	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	504
AAY80414	Q4J9W7	Q4J9W7_SULAC	unreviewed	Decarboxylase	Saci_1057	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	470
CAA73352	O08359	PYRE_SULAC	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE Saci_1597	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	197
AAY80081	Q4JAU8	Q4JAU8_SULAC	unreviewed	Conserved Archaeal protein	Saci_0701	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	245
AAY79460	Q4JCL9	Q4JCL9_SULAC	unreviewed	Conserved protein	Saci_0030	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	296
AAY79954	Q4JB75	Q4JB75_SULAC	unreviewed	Conserved Archaeal protein	Saci_0559	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	258
AAY80869	Q4J8L2	PDXT_SULAC	reviewed	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT Saci_1556	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	200
AAY79528	Q4JCF1	Q4JCF1_SULAC	unreviewed	Conserved Archaeal protein	Saci_0103	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	223
