locus_tag	old_locus_tag	start	end	width	category	category_name	big_category	big_category_name
SACI_RS00005	Saci_0001	101	1261	1160	NA	NA	NA	NA
SACI_RS00010	Saci_0002	1294	1629	335	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00015	Saci_0003	1665	2504	839	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00020	Saci_0004	2553	3056	503	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00025	Saci_0005	3049	3768	719	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00030	Saci_0006	3801	4052	251	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11965	Saci_0007	4138	4419	281	NA	NA	NA	NA
SACI_RS00035	Saci_0008	4456	5271	815	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00040	Saci_0009	5262	6101	839	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00045	Saci_0010	6117	7601	1484	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00050	Saci_0011	7727	8245	518	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS00055	Saci_0012	8367	9035	668	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00060	Saci_0013	8989	9516	527	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00065	Saci_0014	9521	10129	608	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00070	Saci_0015	10199	11032	833	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00075	Saci_0016	11025	11702	677	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00080	Saci_0017	11673	12209	536	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00085	Saci_0018	12269	12931	662	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00090	Saci_0019	12928	13242	314	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00095	Saci_0020	13239	14261	1022	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00100	Saci_0022	14302	14658	356	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00105	Saci_0023	14685	15683	998	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00110	Saci_0024	15604	16728	1124	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00115	Saci_0025	16715	18421	1706	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS00120	Saci_0026	18433	18909	476	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00125	Saci_0027	18899	19645	746	NA	NA	NA	NA
SACI_RS00130	Saci_0028	19654	20007	353	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00135	Saci_0029	20087	21088	1001	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00140	Saci_0030	21085	21975	890	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11510	Saci_0031	21901	22383	482	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00145	Saci_0032	22370	22633	263	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11515	Saci_0033	22557	22913	356	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00150	Saci_0034	22932	23591	659	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00155	Saci_0035	23574	24155	581	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00160	Saci_0037	24505	25560	1055	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00165	Saci_0038	25618	26484	866	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00170	Saci_0039	26513	27022	509	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS00175	Saci_0040	27019	27600	581	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00180	Saci_0041	27676	28014	338	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00185	Saci_0042	28098	28811	713	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00190	Saci_0043	28791	29417	626	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00195	Saci_0044	29614	30108	494	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00200	Saci_0045	30140	30481	341	NA	NA	NA	NA
SACI_RS00205	Saci_0046	30432	32177	1745	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
